Function,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13
F_1,1.23E-139,-6.43E-160,3.18E-201,4.06E-177,1.75E-26,-1.23E-20,8.81E-56,1.07E-63,7.23E-16,7.47E-18,7.52E-16,7.83E-16,8.19E-16
F_2,-0.01280444,0.331093522,0.612394209,0.062186223,0.37766202,0.265356922,0.579391974,0.501180251,0.632404084,0.515447345,0.613832685,0.498143539,0.543542953
F_3,-0.028417017,-0.032889689,-0.113216898,-0.140420731,-0.061293461,-0.007682404,-0.134672585,-0.019876476,-0.008645621,-0.007073976,-0.013292691,-0.006263865,-0.008104076
F_4,-0.179151693,0.158267684,-0.242766547,-0.980710896,0.08563978,0.037359141,0.255737805,-1.710300394,0.303944781,0.521892013,0.585185508,-4.573956476,0.435510683
F_5,1489.609415,1500.250566,3294.6792,5553.031467,8662.4825,7786.37135,7786.37135,7786.37135,7786.37135,7915.738969,8471.231482,8471.231482,8662.4825
F_6,-0.265439251,-0.901413602,-0.801380368,-0.441429717,-0.437763841,-0.251671815,-0.219613901,-0.501144325,-0.319200644,-0.202748637,-0.103406166,-0.39023522,-0.302744969
F_7,1.701688626,1.017736719,2.329547987,1.734758566,2.580636317,2.736811086,2.684600473,2.772707197,2.384169625,2.832769153,2.625874477,2.7739917,2.854626394
F_8,9.72705,9.78955,9.1558,9.694292143,9.940738186,9.939507442,9.902744496,9.95412875,9.99308555,9.93925324,9.975729273,9.953449419,9.977169728
